Cast Vote Record,Precinct,Ballot Style,Presidential Electors (215),U.S. Senator (220),U.S. Representative in Congress Dist. 3 Dist 3 (225),U.S. Representative in Congress Dist. 4 Dist 4 (230),State Senator Dist. 4 (235),State Senator Dist. 13 (240),State Representative Dist 4 (245),,State Representative Dist 13 (252),,Corporation Commissioner (259),,,Board of Supervisors Dist 1 (268),Board of Supervisors Dist 2 (273),Board of Supervisors Dist 3 (278),Board of Supervisors Dist 4 (283),Board of Supervisors Dist 5 (288),County Assessor (293),County Attorney (298),County Recorder (303),County School Superintendent (308),County Sheriff (313),County Treasurer (318),Constable Prec. 3 (323),Retain Justice BRUTINEL (331),Retain Justice GOULD (338),Retain Justice LOPEZ IV (345),Retain Judge CAMPBELL (352),Retain Judge CRUZ (359),Judge of the Superior Court Div. 1 (366),Judge of the Superior Court Div. 2 (371),Judge of the Superior Court Div. 4 (376),Judge of the Superior Court Div. 6 (381),Board Member Gadsden ESD 32 (386),,Board Member Hospital Dist Brd 1 (393),,PROPOSITION 207 (403),PROPOSITION 208 (410),PROPOSITION 414 (417),PROPOSITION 415 (424),PROPOSITION 412 (431),PROPOSITION 413 (438),QUESTION 1 (445)
4457,PRECINCT 037,PRECINCT 037 37.02,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)","REP WOOD, DANIEL (CND006)",,"REP ANGRY, TRAVIS (CND010)",,"REP JOHN, JOEL (CND013)",undervote,,,"REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)",,,,,"REP MISENHIMER, PAGE (CND028)","REP MORRIS CLARKSON, VICTORIA (CND030)",Write-in,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"SORENSON, NATHANIEL (CND038)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"HUTSELL, MARK (CND049)","URIBE, CONNIE (CND051)",YES (YES / SÍ),NO (NO / NO),,,NO (NO / NO),NO (NO / NO),
4458,PRECINCT 036,"PRECINCT 036 36.03, 36.04",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"REP JOHN, JOEL (CND013)","DEM PETEN, GERALDINE ""GERAE""",,,"DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)",,,,,"DEM PANCRAZI, LYNNE (CND029)","DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)","HIRTH, LOUIS (CND048)",NO (NO / NO),YES (YES / SÍ),,,NO (NO / NO),NO (NO / NO),
4459,PRECINCT 036,"PRECINCT 036 36.03, 36.04",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,undervote,,"DEM FERNANDEZ, CHARLENE (CND014)",undervote,,,undervote,undervote,undervote,,,,,undervote,"DEM ALEXANDRE, DAVID (CND031)",undervote,undervote,undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,undervote,undervote,undervote,YES (YES / SÍ),undervote,undervote,undervote,undervote,undervote,,,undervote,undervote,undervote,undervote,,,undervote,undervote,
4460,PRECINCT 036,"PRECINCT 036 36.03, 36.04",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM FERNANDEZ, CHARLENE (CND014)","DEM PETEN, GERALDINE ""GERAE""",,,"DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)",,,,,"DEM PANCRAZI, LYNNE (CND029)","DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"CLARIDGE, JEREMY (CND047)","HIRTH, LOUIS (CND048)",NO (NO / NO),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
4461,PRECINCT 036,"PRECINCT 036 36.03, 36.04",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,undervote,,"DEM FERNANDEZ, CHARLENE (CND014)",undervote,,,"DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)",,,,,"DEM PANCRAZI, LYNNE (CND029)","DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"CLARIDGE, JEREMY (CND047)","HIRTH, LOUIS (CND048)",NO (NO / NO),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
4462,PRECINCT 036,"PRECINCT 036 36.03, 36.04",REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)","REP WOOD, DANIEL (CND006)",,"REP ANGRY, TRAVIS (CND010)",,"REP JOHN, JOEL (CND013)",undervote,,,"REP SLOAN, ERIC (CND020)","REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)",,,,,"REP MISENHIMER, PAGE (CND028)","REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)",undervote,,YES (YES / SÍ),YES (YES / SÍ),NO (NO / NO),YES (YES / SÍ),NO (NO / NO),"REEVES, MARK (CND039)",undervote,undervote,undervote,,,"URIBE, CONNIE (CND051)",undervote,YES (YES / SÍ),NO (NO / NO),,,YES (YES / SÍ),YES (YES / SÍ),
4463,PRECINCT 032,"PRECINCT 032 32.01, 32.02, 32.03",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM FERNANDEZ, CHARLENE (CND014)",undervote,,,"DEM TOVAR, ANNA (CND023)",undervote,undervote,,,,"DEM REYES, MARCO A. (TONY) (CND027)",,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"JAUREGUI, MARIO (CND050)",undervote,YES (YES / SÍ),NO (NO / NO),,,,,
4464,PRECINCT 013,PRECINCT 013 13.01,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)","REP WOOD, DANIEL (CND006)",,"REP ANGRY, TRAVIS (CND010)",,"REP JOHN, JOEL (CND013)",undervote,,,"REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)",,"REP LINES, JONATHAN W. (CND025)",,,,"REP MORRIS CLARKSON, VICTORIA (CND030)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"SORENSON, NATHANIEL (CND038)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"CANNELL, ROBERT (CND046)","HIRTH, LOUIS (CND048)",NO (NO / NO),NO (NO / NO),,,YES (YES / SÍ),YES (YES / SÍ),
4465,PRECINCT 015,PRECINCT 015,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",,"DEM DiSANTO, DELINA (CND009)",,"REP KERR, SINE (CND012)",,,"REP OSBORNE, JOANNE (CND016)","DEM SANDOVAL, MARIANA (CND017)","REP MARQUEZ PETERSON, LEA (CND018)","DEM TOVAR, ANNA (CND023)","DEM STANFIELD, SHEA (CND022)",,"REP LINES, JONATHAN W. (CND025)",,,,"REP MORRIS CLARKSON, VICTORIA (CND030)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"SORENSON, NATHANIEL (CND038)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)","CANNELL, ROBERT (CND046)",YES (YES / SÍ),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
4466,PRECINCT 015,PRECINCT 015,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",,undervote,,undervote,,,undervote,undervote,"DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)",,undervote,,,,undervote,undervote,undervote,undervote,undervote,undervote,,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,,,undervote,undervote,YES (YES / SÍ),undervote,,,undervote,undervote,
4467,PRECINCT 015,PRECINCT 015,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",,undervote,,undervote,,,undervote,undervote,"DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)",,undervote,,,,undervote,undervote,undervote,undervote,undervote,undervote,,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,,,undervote,undervote,YES (YES / SÍ),undervote,,,undervote,undervote,
4468,PRECINCT 015,PRECINCT 015,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",,"DEM DiSANTO, DELINA (CND009)",,undervote,,,"DEM SANDOVAL, MARIANA (CND017)",undervote,"DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)",,undervote,,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)",undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,NO (NO / NO),NO (NO / NO),NO (NO / NO),NO (NO / NO),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)",undervote,undervote,,,undervote,undervote,YES (YES / SÍ),NO (NO / NO),,,YES (YES / SÍ),YES (YES / SÍ),
4469,PRECINCT 015,PRECINCT 015,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,"REP GOSAR, PAUL (CND008)",,"REP KERR, SINE (CND012)",,,"REP DUNN, TIMOTHY ""TIM"" (CND015)",undervote,"REP SLOAN, ERIC (CND020)","REP MARQUEZ PETERSON, LEA (CND018)","DEM STANFIELD, SHEA (CND022)",,"REP LINES, JONATHAN W. (CND025)",,,,"REP MORRIS CLARKSON, VICTORIA (CND030)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"HIRTH, LOUIS (CND048)","JAUREGUI, MARIO (CND050)",YES (YES / SÍ),NO (NO / NO),,,YES (YES / SÍ),NO (NO / NO),
4470,PRECINCT 015,PRECINCT 015,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",,"DEM DiSANTO, DELINA (CND009)",,undervote,,,"REP OSBORNE, JOANNE (CND016)","DEM SANDOVAL, MARIANA (CND017)","DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)",,"REP LINES, JONATHAN W. (CND025)",,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)",undervote,undervote,undervote,,,undervote,undervote,undervote,undervote,,,undervote,undervote,
4471,PRECINCT 036,"PRECINCT 036 36.01, 36.02",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"REP JOHN, JOEL (CND013)","DEM FERNANDEZ, CHARLENE (CND014)",,,"REP SLOAN, ERIC (CND020)","REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)",,,,,"DEM PANCRAZI, LYNNE (CND029)","DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),NO (NO / NO),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"CANNELL, ROBERT (CND046)","JAUREGUI, MARIO (CND050)",NO (NO / NO),YES (YES / SÍ),,,,,
4472,PRECINCT 036,"PRECINCT 036 36.01, 36.02",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM FERNANDEZ, CHARLENE (CND014)","DEM PETEN, GERALDINE ""GERAE""",,,"DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)",,,,,Write-in,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)",undervote,undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"HIRTH, LOUIS (CND048)","HUTSELL, MARK (CND049)",NO (NO / NO),NO (NO / NO),,,,,
4473,PRECINCT 016,"PRECINCT 016 16.01, 16.03",REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)","REP WOOD, DANIEL (CND006)",,,"REP KERR, SINE (CND012)",,,"REP OSBORNE, JOANNE (CND016)","REP DUNN, TIMOTHY ""TIM"" (CND015)","REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)",,"REP LINES, JONATHAN W. (CND025)",,,,"REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,undervote,undervote,undervote,undervote,undervote,undervote,"FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)",undervote,,,"URIBE, CONNIE (CND051)","CANNELL, ROBERT (CND046)",undervote,undervote,,,undervote,undervote,
4474,PRECINCT 010,"PRECINCT 010 10.01, 10.02",REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,"REP GOSAR, PAUL (CND008)",,"REP KERR, SINE (CND012)",,,"REP OSBORNE, JOANNE (CND016)","REP DUNN, TIMOTHY ""TIM"" (CND015)","REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)",,"REP LINES, JONATHAN W. (CND025)",,,,"REP MORRIS CLARKSON, VICTORIA (CND030)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"HUTSELL, MARK (CND049)","CANNELL, ROBERT (CND046)",NO (NO / NO),NO (NO / NO),,,NO (NO / NO),YES (YES / SÍ),
4475,PRECINCT 010,"PRECINCT 010 10.01, 10.02",REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,undervote,,"REP KERR, SINE (CND012)",,,"REP OSBORNE, JOANNE (CND016)","REP DUNN, TIMOTHY ""TIM"" (CND015)","REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)",,"REP LINES, JONATHAN W. (CND025)",,,,"REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,NO (NO / NO),YES (YES / SÍ),YES (YES / SÍ),NO (NO / NO),NO (NO / NO),"REEVES, MARK (CND039)",undervote,undervote,undervote,,,undervote,undervote,NO (NO / NO),YES (YES / SÍ),,,NO (NO / NO),NO (NO / NO),
4476,PRECINCT 016,"PRECINCT 016 16.01, 16.03",REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)","REP WOOD, DANIEL (CND006)",,,"REP KERR, SINE (CND012)",,,"REP OSBORNE, JOANNE (CND016)","REP DUNN, TIMOTHY ""TIM"" (CND015)","REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)",,"REP LINES, JONATHAN W. (CND025)",,,,"REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,undervote,undervote,undervote,undervote,undervote,undervote,undervote,"HAWS, DAVID (CND041)",undervote,,,"URIBE, CONNIE (CND051)","CANNELL, ROBERT (CND046)",undervote,undervote,,,undervote,undervote,
4477,PRECINCT 038,PRECINCT 038 38.02,LBT JORGENSEN / COHEN (CND003),undervote,undervote,,"REP ANGRY, TRAVIS (CND010)",,undervote,undervote,,,"REP O'CONNOR, JAMES ""JIM"" (CND019)",undervote,undervote,,,,,"REP MISENHIMER, PAGE (CND028)",undervote,undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)",undervote,undervote,undervote,,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,,,undervote,undervote,undervote,undervote,,,undervote,undervote,
4478,PRECINCT 038,PRECINCT 038 38.02,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM PETEN, GERALDINE ""GERAE""","DEM FERNANDEZ, CHARLENE (CND014)",,,"DEM STANFIELD, SHEA (CND022)","DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)",,,,,"DEM PANCRAZI, LYNNE (CND029)","DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)",undervote,undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"CLARIDGE, JEREMY (CND047)","CANNELL, ROBERT (CND046)",YES (YES / SÍ),NO (NO / NO),,,YES (YES / SÍ),YES (YES / SÍ),
4479,PRECINCT 005,"PRECINCT 005 5.01, 5.03",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,,Write-in,,,"DEM SANDOVAL, MARIANA (CND017)",Write-in,"DEM STANFIELD, SHEA (CND022)","DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM PORCHAS, MARTIN (CND024)",,,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)",Write-in,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,NO (NO / NO),NO (NO / NO),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"JAUREGUI, MARIO (CND050)","URIBE, CONNIE (CND051)",YES (YES / SÍ),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
4480,PRECINCT 005,"PRECINCT 005 5.01, 5.03",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",undervote,,,undervote,,,"REP OSBORNE, JOANNE (CND016)","DEM SANDOVAL, MARIANA (CND017)",undervote,undervote,undervote,undervote,,,,,undervote,undervote,undervote,undervote,"DEM MARTINEZ, MARK (CND036)",undervote,,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,,,"CANNELL, ROBERT (CND046)","HUTSELL, MARK (CND049)",NO (NO / NO),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
4481,PRECINCT 005,"PRECINCT 005 5.01, 5.03",DEM BIDEN / HARRIS (CND002),undervote,undervote,,,undervote,,,undervote,undervote,undervote,undervote,undervote,undervote,,,,,undervote,undervote,undervote,undervote,undervote,undervote,,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,,,undervote,undervote,NO (NO / NO),YES (YES / SÍ),,,undervote,undervote,
4482,PRECINCT 022,PRECINCT 022 22.01,DEM BIDEN / HARRIS (CND002),"REP McSALLY, MARTHA (CND004)",,"DEM DiSANTO, DELINA (CND009)",,"REP KERR, SINE (CND012)",,,"DEM SANDOVAL, MARIANA (CND017)",undervote,"DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)","DEM TOVAR, ANNA (CND023)",,,"REP SIMMONS, DARREN (CND026)",,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,NO (NO / NO),NO (NO / NO),NO (NO / NO),NO (NO / NO),YES (YES / SÍ),"SORENSON, NATHANIEL (CND038)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"JAUREGUI, MARIO (CND050)","URIBE, CONNIE (CND051)",YES (YES / SÍ),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
4483,PRECINCT 003,PRECINCT 003 3.01,DEM BIDEN / HARRIS (CND002),"REP McSALLY, MARTHA (CND004)","REP WOOD, DANIEL (CND006)",,"REP ANGRY, TRAVIS (CND010)",,"REP JOHN, JOEL (CND013)",undervote,,,"DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)","DEM PORCHAS, MARTIN (CND024)",,,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)",undervote,undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),NO (NO / NO),"SORENSON, NATHANIEL (CND038)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,undervote,undervote,YES (YES / SÍ),YES (YES / SÍ),,,,,
4484,PRECINCT 010,"PRECINCT 010 10.01, 10.02",REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,"REP GOSAR, PAUL (CND008)",,"REP KERR, SINE (CND012)",,,"REP DUNN, TIMOTHY ""TIM"" (CND015)",undervote,"REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)",,undervote,,,,"REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"HUTSELL, MARK (CND049)","URIBE, CONNIE (CND051)",YES (YES / SÍ),NO (NO / NO),,,YES (YES / SÍ),YES (YES / SÍ),
